Real	Health	Targeted immigration measures to boost Canada’s supply of doctors	In support of the Budget 2025 commitment to fill critical labour gaps with high-skilled talent, the Parliamentary Secretary to the Minister of Health, today announced new measures to support Canada’s health care system by making the path to permanent residence simpler for international doctors.	Immigration, Refugees and Citizenship Canada	08/12/2025	Government of Canada	https://www.canada.ca/en/immigration-refugees-citizenship/news/2025/12/targeted-immigration-measures-to-boost-canadas-supply-of-doctors.html
Fake	Health	Federal Study Finds Marijuana 100X Less Toxic Than Alcohol, Safer Than Tobacco	Numerous studies have reported the positive medicinal effects of marijuana on pain, sleep, and overall comfort. A survey conducted by Trip, et. al. (2014) revealed that marijuana use was effective in improving mood, pain, muscle spasms, and sleep quality in patient with prostatitis and chronic pelvic pain syndrome.	Dr. John Regan	04/01/2018	Health Guide	Style Mismatch
Fake	Sports	Rooney Signs for Shanghai in £700,000 per-week Deal	Wayne Rooney has joined Chinese club Shanghai SIGP in a deal worth a reported £700,000 per-week.			Soccer on Sunday	Missing context
Fake	Entertainment	"Roberto Benigni died in a car accident" but it's a hoax	Mourning in the TV world: Roberto Benigni dies after losing control of his car in Pioltello and crashing into a truck.	Ida Di Grazia	01/06/2018		Missing Context
Real	Animal	A seal galumphs into a bar. The bartender says 'Grab the salmon!'	New Zealand's Department of Conservation said the bar staff “did a great job keeping the seal safe” until their workers arrived.	The Associated Press	4/12/2025	NBC News	https://apnews.com/article/seal-bar-new-zealand-pub-richmond-487e2a8207c9f0e69be79ac7eb8045c0
Fake	Health	An employee of the Jefferson County morgue died this morning after being accidentally cremated by one of his coworkers	While he was sleeping, another employee mistook him for the corpse of a 52-year-old car accident victim and carried him to the crematory.			World News Daily Report	Missing Context
Real	Animal	Emotional support alligator taken and released in swamp	An emotional support alligator was taken by pranksters and then dumped in a swamp, his owner says. Known as WallyGator, this surprisingly cuddly creature has been helping Joie Henney relieve his depression for almost ten years.	Tom McArthur	02/05/2024	BBC News	https://www.bbc.com/news/articles/c6py05vv81vo
Fake	Sports	Who's That Girl? The WTA tour is desperately seeking a new star to embody its ideal of strength, attitude and sex appeal. Meet Simonya Popova	Popova is dripping sweat like a busted faucet. Her opponent, a toned and tanned academy instructor who claims to have played in the Davis Cup for Peru, is panting.	L. Jon Wertheim		Sports Illustrated	Unreliable Source
Real	Animal	How a cordyceps fungus turns ants into ‘zombies’	The deadly Ophiocordyceps unilateralis spreads by sending toxic spores blooming from the dead ant’s head.	Jennifer Lu	10/10/2025	National Geographic	https://www.nationalgeographic.com/animals/article/cordyceps-zombie-fungus-takes-over-ants
Fake	Animal	Aliens at a Miami mall	10ft Aliens/Creatures (caught on camera?) fired at inside and outside Miami Mall, media silent, cops are covering it up saying kids were fighting with fireworks, yet all these cop cars, & air traffic stopped that night except for black military choppers…and no media coverage	@GoodLionTV	05/01/2024	Twitter	Unreliable Source
Fake	Animal	Further remains of seven-arm octopus found on beach	Further remains of an unusual deep-sea creature called a seven-arm octopus have been found on an Aberdeenshire beach.		9/12/2025		Missing Context
Fake	Health	Chef Invents What Some Call 'World's Healthiest Cookie'			16/07/2020	CBS Minnesot	Missing Context
Real	Entertainment	Thieves snatch eight Matisse artworks from library in Brazil	Two armed men have stolen eight engravings by French artist Matisse and at least another five by Brazilian painter Cândido Portinari from a library in São Paulo.	Vanessa Buschschlüter	09/12/2025	BBC News	https://www.bbc.com/news/articles/c0mp4nevdz7o
Fake	Entertainment	This loser won't win anything, but you'll see how he'll bring out a Catalan flag on stage to pull off his "independence" joke.	The singer Alfred, one of the Spanish representatives in Eurovision Song Contest, was pro-Catalonia independence.			Periodista Digital	Missing Context
Real	Sports	Leafs’ Brandon Carlo out long-term following injury setback	Toronto Maple Leafs defenceman Brandon Carlo will be out for an extended period after suffering a setback with his lower-body injury, head coach Craig Berube said on Tuesday.	Lucas Casaletto	02/12/2025	CityNews Toronto	https://toronto.citynews.ca/2025/12/02/brandon-carlo-toronto-maple-leafs-injury/
Fake	Sports	Ronaldo will build a pediatric hospital in Chile	Cristiano Ronaldo will build a pediatric hospital in Child, announced Brafman Associates Law Firm, of New York, the company that handles the interests of the Real Madrid champion, quoted by the Efe News Agency.	Maisfutebol Editorial Team	19/12/2017	Maisfutebol	Unreliable Source
Fake	Sports	Marcus Rashford signs for Paris Saint-Germain	"Am Very Sure we will gain from this transfer fee. I can't believe PSG are will to pay that huge amount of money plus an amazing player just to Marcus Rashford"				Missing context
Real	Entertainment	No, Gwyneth Paltrow, women should not put jade eggs in their vaginas, gynocologist says	It wasn't that long ago when Gwyneth Paltrow raved about the benefits of vaginal steaming, a non-scientifically proven process of sitting over a hot pot of water filled with herbs for up to 45 minutes to “cleanse your uterus” and “balance female hormone levels,” as the actress had put it.	Kristine Guerra 	22/01/2022	The Washington Post	https://www.washingtonpost.com/news/to-your-health/wp/2017/01/22/no-gwyneth-paltrow-women-should-not-put-jade-eggs-in-their-vaginas-gynecologist-says/
Fake	Health	Bananas infected with AIDS	Someone is injecting blood into bananas. The hospital tested the banana and it is indeed blood. After researching on the internet apparently someone is injecting HIV positive blood into bananas and oranges.	Anna Aquavia	9/11/2016		Common Sense
Fake	Entertainment	Police: Chester Bennington was murdered	Police have reportedly launched a murder investigation into Chester Bennington's death with insiders believing it is "extremely likely" the Linkin Park frontman was killed in eerily similar circumstances to his close friend Chris Cornell.		21/07/2017	Yours News Wire	Missing Context
Fake	Health	A 31-year-old woman was admitted to the University of Cincinnati Medical Center yesterday after the 14-month-old toddler she was babysitting got stuck in her vaginal cavity.				World News Daily Report	Missing Context
Real	Sports	101-year-old man to run last race in Hong Kong	The world's oldest marathon runner on Friday was preparing for his last competitive run, the Hong Kong Standard Chartered Marathon, on Sunday.	The Associated Press	23/02/2013	CBC News	https://www.cbc.ca/news/world/101-year-old-man-to-run-last-race-in-hong-kong-1.1364537
Fake	Animal	Wild animals are reclaiming urban spaces	Dolphins are appearing due to the fresh air following the shutdown that had begun in the city—a few days before the nationwide, government-mandated lockdown to prevent the spread of the coronavirus.	@iam_juhi	22/07/2022	Twitter	Unreliable Source
Fake	Entertainment	The CN tower Lures UFOs into Ontraio, according to Henry McKay of Agincourt, a UFO investigator	Eyewitnesses report a mysterious flying object hovering near the CN Tower earlier this evening, sparking widespread speculation. 	Ron Bull	17/03/1977	Toronto Star	Spelling Error